1,0,31760,39731,26661,0
2,250,31882,39576,26715,0
3,500,32014,39423,26758,0
4,750,32157,39274,26788,0
5,1000,32312,39129,26806,0
6,1250,32474,38989,26813,0
7,1500,32643,38856,26807,0
8,1750,32819,38729,26789,0
9,2000,33002,38610,26759,0
10,2250,33189,38500,26717,0
11,2500,33378,38399,26664,0
12,2750,33567,38308,26600,0
13,3000,33759,38227,26525,0
14,3250,33952,38157,26439,0
15,3500,34142,38098,26344,0
16,3750,34328,38051,26240,0
17,4000,34512,38016,26126,0
18,4250,34691,37993,26005,0
19,4500,34863,37983,25877,0
20,4750,35028,37984,25743,0
21,5000,35185,37999,25603,0
22,5250,35333,38025,25457,0
23,5500,35471,38064,25309,0
24,5750,35595,38115,25159,0
25,6000,35712,38177,25005,0
26,6250,35816,38249,24850,0
27,6500,35907,38333,24695,0
28,6750,35981,38428,24543,0
29,7000,36042,38533,24391,0
30,7250,36091,38645,24242,0
31,7500,36124,38766,24097,0
32,7750,36140,38896,23958,0
33,8000,36141,39032,23823,0
34,8250,36131,39173,23694,0
35,8500,36105,39319,23572,0
36,8750,36063,39470,23458,0
37,9000,36005,39624,23354,0
38,9250,35933,39780,23258,0
39,9500,35849,39938,23172,0
40,9750,35750,40096,23097,0
41,10000,35638,40253,23033,0
42,10250,35516,40409,22980,0
43,10500,35383,40562,22937,0
44,10750,35239,40711,22907,0
45,11000,35085,40856,22889,0
46,11250,34922,40996,22883,0
47,11500,34752,41129,22889,0
48,11750,34576,41255,22907,0
49,12000,34393,41374,22938,0
50,12250,34206,41485,22980,0
51,12500,34017,41586,23033,0
52,12750,33827,41676,23097,0
53,13000,33636,41756,23173,0
54,13250,33443,41826,23259,0
55,13500,33253,41885,23354,0
56,13750,33067,41931,23459,0
57,14000,32884,41966,23572,0
58,14250,32705,41989,23694,0
59,14500,32533,41999,23822,0
60,14750,32368,41997,23956,0
61,15000,32212,41982,24096,0
62,15250,32064,41956,24241,0
63,15500,31928,41916,24389,0
64,15750,31802,41865,24540,0
65,16000,31686,41804,24693,0
66,16250,31582,41731,24848,0
67,16500,31493,41647,25002,0
68,16750,31419,41552,25154,0
69,17000,31358,41448,25305,0
70,17250,31309,41336,25454,0
71,17500,31277,41214,25599,0
72,17750,31261,41085,25738,0
