"Time","Subsystem #1|Branch Currents|IaLine","Subsystem #1|Branch Currents|IbLine","Subsystem #1|Branch Currents|IcLine","Subsystem #1|CTLs|Inputs|LG_FLT"
0.0,0.2646171839,-0.2374068083,-0.02721033485,0.0
0.001,0.2890773252,-0.1736811099,-0.1153961735,0.0
0.002,0.2855482796,-0.09308797981,-0.1924602611,0.0
0.003,0.2537251871,-0.003218937217,-0.250506218,0.0
0.004,0.1971311124,0.08690930034,-0.2840403909,0.0
0.005,0.1213328752,0.1684238691,-0.2897567346,0.0
0.006,0.03341585818,0.2336012264,-0.2670170879,0.0
0.007,-0.05749131986,0.2757001884,-0.2182088847,0.0
0.008,-0.1427498752,0.2908840026,-0.1481341547,0.0
0.009,-0.2139807283,0.2775078228,-0.06352713024,0.0
0.01,-0.264467345,0.2371660813,0.02730122294,0.0
0.011,-0.2888456638,0.1734932478,0.1153523742,0.0
0.012,-0.285282626,0.09301393334,0.192268654,0.0
0.013,-0.2535036715,0.003282671812,0.2502209679,0.0
0.014,-0.1971197141,-0.08669247659,0.2838121689,0.0
0.015,-0.1214077516,-0.1682400425,0.2896477843,0.0
0.016,-0.03365947434,-0.2333979394,0.267057417,0.0
0.017,0.05723352821,-0.2756622074,0.2184286953,0.0
0.018,0.14261227,-0.2909617242,0.1483494814,0.0
0.019,0.2138132169,-0.2776513601,0.06383817892,0.0
0.02,0.2646189118,-0.2374046276,-0.02721424334,0.0
0.021,0.289077715,-0.1736816308,-0.1153960425,0.0
0.022,0.2855494961,-0.09308642985,-0.1924630276,0.0
0.023,0.2537243494,-0.003220992597,-0.250503325,0.0
0.024,0.1971308092,0.08690980324,-0.2840405906,0.0
0.025,0.1213327406,0.1684231139,-0.2897558448,0.0
0.026,0.0334152406,0.2336006508,-0.2670158948,0.0
0.027,-0.05749065035,0.2757007302,-0.218210096,0.0
0.028,-0.1427497516,0.290883495,-0.1481337707,0.0
0.029,-0.2139809003,0.2775074995,-0.06352663497,0.0
0.03,-0.2644666032,0.2371670552,0.0272995072,0.0
0.031,-0.2888463293,0.1734925098,0.1153537777,0.0
0.032,-0.2852824636,0.0930149137,0.1922675113,0.0
0.033,-0.2535035894,0.003282697971,0.2502208596,0.0
0.034,-0.1971199812,-0.08669249337,0.2838124528,0.0
0.035,-0.1214078235,-0.1682398787,0.2896476925,0.0
0.036,-0.03365928733,-0.2333980233,0.2670573139,0.0
0.037,0.05723309998,-0.2756624963,0.2184294124,0.0
0.038,0.1426124921,-0.2909614884,0.1483490236,0.0
0.039,0.2138131843,-0.2776517102,0.06383856163,0.0
0.04,0.2646187032,-0.2374046121,-0.02721405037,0.0
